impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K26-187441,A744357,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3052747,LOST,Marie,Cat,Under 1 year<p/>,Female,Domestic Longhair,Unknown,"Mar 09, 2026",Date Lost,GAME  FARM PARK AUBURN WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3052747,Image Copyright HLP Inc. 2026,"Description: Mostly white with a tan/light brown back. The top of her head is light brown and her face is mostly white with grey markings. She has green ish yellow eyes and her arms and legs are white with little grey markings/spots. Her ears and tail are dark<p/>Age: Under 1 year<p/>Location Lost: Game Farm Park Auburn WA, Auburn WA  98002<p/>Lost Date: 2026-03-09<p/>",
K26-187550,A744640,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3055163,LOST,Doobers,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Mar 16, 2026",Date Lost,SE  KENT KANGLEY ROAD & SE KENT KANGLEY RD,Kent,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3055163,Image Copyright HLP Inc. 2026,"Description: He is black and white he looks like he is wearing a tux he has never been gone this long. Even if you had seen him in the past few days but don’t know where he is please let me know <p/>Age: Over 1 year<p/>Location Lost: 104th and Kent kangley , Kent WA  98030<p/>Lost Date: Mar 16 202<p/>",
K26-187763,A745121,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3058736,LOST,Sorby,Cat,Over 1 year<p/>,Male,Pixiebob Shorthair,Brown,"Mar 26, 2026",Date Lost,SE  91st Pl & 138th Ave SE,Newcastle,,98059,NEWCASTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3058736,Image Copyright HLP Inc. 2026,"Description: Sorby is a six year old pixie bob shorthair boy. He has brown/grey fur and his long tail is brown and black stripes. He’s anxious around people who are not his family. He was wearing a grey flea collar. <p/>Age: Over 1 year<p/>Location Lost: 91st and 138th Ave SE Newcastle , Renton WA  98059<p/>Lost Date: Mar 26 202<p/>",
K26-187949,A745483,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3061824,In Public Home,,Bird,Unknown<p/>,Unknown,,Unknown,"Apr 10, 2026",Date Found,100 block of  N St SE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3061824,Image Copyright HLP Inc. 2026,"Description: Yellow and green budgie/parakeet bird (bright yellow head, yellow with greenish body with a tiny bit of light blue). Found Friday April 10, 2026 near Costco in Kirkland, WA 98033. Has a silver leg band with numbers/letters. Lost long tail feathers from stress. Not skinny — likely out only a short time. Currently healthy and alert. Holding temporarily.<p/>Age: Unknown<p/>Found Near: 120th Ave NE & NE 85th street , Kirkland WA  98033<p/>Found Date: 2026-04-10<p/>",
K26-187859,A745342,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,1 WEEK,Female,Domestic Shorthair,Brn Tabby,"Apr 07, 2026",Received on,21600 block of  64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745342,Image Copyright HLP Inc. 2026,Received on: 2026-04-07<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>,
K26-188082,A743348,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A743348,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gertie,Dog,2 YEARS 8 MONTHS,Spayed Female,Pit Bull,Sable,"Apr 16, 2026",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A743348,Image Copyright HLP Inc. 2026,"Received on: 2026-04-16<p/> Description: Sable<p/>  Spayed Female Pit Bull Dog<p/> Age: 2 YEARS 8 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Gertie and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 02/16/2026.<p/><p/>I weigh 35 lbs and am considered a medium breed dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"", ""stay"", ""come"", ""down"" and ""shake"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other [small dogs/large dogs]. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I will need to find a home where someone is available for me in these early days. It is important to be consistent with me and socialize me so I can have the best companionship with people and other animals. Puppies require patience because everything is brand new so I will need some TLC while I learn. If you and your family are ready to fall in love my awesome self, please check me out!!<p/><p/><p/>",
K26-187912,A745430,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3061372,LOST,Totoro,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Mar 30, 2026",Date Lost,,,,,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3061372,Image Copyright HLP Inc. 2026,"Description: He's a medium hair gray cat. No ID and no collar. He's 13 pounds. <p/>Age: Over 1 year<p/>Location Lost: 1213 S 315th St, federal way, WA, Federal Way WA  98003<p/>Lost Date: 2026-03-30<p/>",
K26-188101,A745766,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3064180,LOST,Mellow,Cat,Over 1 year<p/>,Male,Domestic Longhair,Unknown,"Apr 15, 2026",Date Lost,264TH  AND 8TH AVE S,WOODMONT,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3064180,Image Copyright HLP Inc. 2026,"Description: Mellow is a 17lb long hair Orange male , has been neutered and has one ear clipped<p/>Age: Over 1 year<p/>Location Lost: 264th and 8th ave S,  Woodmont area, Seattle WA  98198<p/>Lost Date: 2026-04-15<p/>",
K26-187377,A744235,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3051187,In Public Home,N/a,Dog,Unknown<p/>,Female,Labrador Retriever,Unknown,"Mar 10, 2026",Date Found,2400 block of  66th Ave SE,Mercer Island,,98040,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3051187,Image Copyright HLP Inc. 2026,<p/>Age: Unknown<p/>Found Near: 2400 block of  66th Ave SE<p/>Found Date: 2026-03-10<p/>,
K26-188013,A745617,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3062893,LOST,Bailey,Dog,Over 1 year<p/>,Female,Dachshund,Black,"Apr 13, 2026",Date Lost,1100 block of  CAMAS AVE NE,Renton,,98056,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3062893,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: 1170 camas ave ne renton, Renton WA  98056<p/>Lost Date: 2026-04-13<p/>",
K26-187986,A745567,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Mia,Cat,10 MONTHS,Spayed Female,Domestic Longhair,Gray / White,"Apr 13, 2026",Received on,12500 block of  SE 276TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745567,Image Copyright HLP Inc. 2026,Received on: 2026-04-13<p/> Found Near: 12500 block of  SE 276TH PL<p/> Description: Gray / White Spayed Female Domestic Longhair Cat<p/> Age: 10 MONTHS<p/> Current Location: In RASKC Foster Home <p/>,
K26-187573,A744703,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3055646,In Public Home,,Cat,Unknown<p/>,Unknown,Domestic Longhair,Black,"Mar 22, 2026",Date Found,SE  187th St & 173rd Way SE,King County,,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3055646,Image Copyright HLP Inc. 2026,"Description: Cat has mostly black and brown long fur with bright green eyes. Very gentle and good at being handled. Has a raspy meow.<p/>Age: Unknown<p/>Found Near: SE 187th St and 173rd Way SE, Renton WA  98058<p/>Found Date: 2026-03-22<p/>",
K26-187352,A744193,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3050853,LOST,Sugar,Reptile,Unknown<p/>,Unknown,,White,"Mar 07, 2026",Date Lost,148th  Ave SE & SE 240th St,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3050853,Image Copyright HLP Inc. 2026,"Description: All white retic python (Healing sore on snout also healing marks by upper neck<p/>Age: Unknown<p/>Location Lost: 148th and 240th, Kent WA  98042<p/>Lost Date: 2026-03-07<p/>",
